ID,EDGE_TYPE,HEAD_ENTITY,TAIL_ENTITY
450,InstanceOf,Wild West,West
451,InstanceOf,Rummy,card game
452,InstanceOf,hanafuda,card game
453,InstanceOf,bluff,card game
454,InstanceOf,Faro,card game
455,InstanceOf,Cribbage,card game
456,InstanceOf,Mohenjo-daro,Ancient City of Aleppo
457,InstanceOf,Yu-Gi-Oh! Trading Card Game,deck-building game
458,InstanceOf,Pokémon Trading Card Game,deck-building game
459,SubclassOf,patience,card game
460,InstanceOf,Vampire: The Masquerade,tabletop role-playing game
461,InstanceOf,Dungeons & Dragons,tabletop role-playing game
462,SubclassOf,board game,tabletop game
463,InstanceOf,chess,board game
464,InstanceOf,backgammon,board game
465,InstanceOf,Connect Four,board game
466,InstanceOf,Rummikub,board game
467,InstanceOf,Snakes and Ladders,board game
468,InstanceOf,Codenames,board game
469,InstanceOf,Risk,board game
470,InstanceOf,Monopoly,board game
471,InstanceOf,The Settlers of Catan,board game
472,InstanceOf,cacho,board game
473,InstanceOf,Cluedo,board game
474,InstanceOf,Mastermind,board game
475,InstanceOf,Battleship,board game
476,InstanceOf,hangman,paper-and-pencil game
477,InstanceOf,Kamp Koral: SpongeBob's Under Years,spin-off
478,InstanceOf,Torchwood,Doctor Who spin-offs
479,SubclassOf,musical instrument,instrument
